0.514458, 0.412853, 0.352359, 0.351653, 0.326436, 0.264956, 0.204448, 0.198321, 0.178849
0.484631, 0.359581, 0.364359, 0.350035, 0.320780, 0.278352, 0.209090, 0.196671, 0.178243
0.481279, 0.362407, 0.378352, 0.351209, 0.329798, 0.275873, 0.207152, 0.226287, 0.203125
0.460528, 0.353791, 0.362756, 0.353423, 0.325280, 0.259670, 0.209126, 0.223034, 0.174812
0.477777, 0.355831, 0.363020, 0.355608, 0.321248, 0.281501, 0.207440, 0.195393, 0.223153
0.545968, 0.365265, 0.359672, 0.350945, 0.316564, 0.268806, 0.207098, 0.199480, 0.179578
0.460896, 0.353668, 0.353052, 0.389181, 0.327497, 0.259796, 0.221956, 0.202883, 0.176766
0.456695, 0.367002, 0.354209, 0.355658, 0.344668, 0.270144, 0.210745, 0.215562, 0.178759
0.487508, 0.357432, 0.377306, 0.361370, 0.322570, 0.279309, 0.200381, 0.198420, 0.187511
0.493785, 0.354524, 0.353579, 0.364366, 0.325109, 0.263966, 0.224840, 0.198921, 0.178280
0.470813, 0.356838, 0.352325, 0.352785, 0.327149, 0.263639, 0.203790, 0.201213, 0.180492
