11.797351, 0.662356, 0.316525, 0.355994, 0.359103, 0.366323
11.893894, 0.634384, 0.327315, 0.366145, 0.356004, 0.367397
11.865918, 0.633149, 0.329383, 0.368103, 0.355129, 0.377162
11.892028, 0.636941, 0.330206, 0.368414, 0.361991, 0.367337
11.900887, 0.661751, 0.323265, 0.363583, 0.359651, 0.369820
11.911265, 0.634871, 0.324727, 0.362636, 0.351031, 0.366564
11.924461, 0.660547, 0.328780, 0.364115, 0.359832, 0.374954
11.861752, 0.637260, 0.317451, 0.368173, 0.361024, 0.364444
11.921690, 0.663221, 0.316411, 0.362272, 0.355301, 0.375581
11.843109, 0.670560, 0.321348, 0.388243, 0.358740, 0.374282
11.959562, 0.648793, 0.323884, 0.372268, 0.373277, 0.372184
11.887267, 0.654780, 0.343885, 0.374217, 0.360318, 0.373182
11.875850, 0.636471, 0.322854, 0.363046, 0.359492, 0.389133
11.889222, 0.654626, 0.321034, 0.360509, 0.359134, 0.375393
11.871325, 0.659004, 0.335874, 0.386142, 0.358193, 0.367946
11.869089, 0.674367, 0.315492, 0.396978, 0.350961, 0.372318
11.860110, 0.660297, 0.328604, 0.370009, 0.360194, 0.363948
11.847050, 0.641711, 0.321859, 0.361523, 0.373574, 0.363191
11.854283, 0.659891, 0.321337, 0.385625, 0.361914, 0.372785
11.867468, 0.644742, 0.319074, 0.360753, 0.352135, 0.381884
11.918082, 0.698787, 0.337534, 0.369787, 0.352753, 0.367138
11.877081, 0.662415, 0.316319, 0.365929, 0.365084, 0.375008
